Iteration,DeepLab v3+,FCN16s,GoogLeNet
292,0.279821912,0.161320018,0.223857529
293,0.282491254,0.142820975,0.225993003
294,0.276430314,0.129485691,0.221144251
295,0.274325128,0.110652449,0.219460103
296,0.270704498,0.143678128,0.216563599
297,0.280016793,0.173898472,0.224013435
298,0.281267948,0.167374534,0.225014358
299,0.28249296,0.112499362,0.225994368
300,0.284332362,0.076031829,0.22746589
301,0.292054869,0.129450407,0.233643895
302,0.281666057,0.180249383,0.225332846
303,0.288184862,0.100420232,0.23054789
304,0.287792618,0.128658723,0.230234094
305,0.295602706,0.150418269,0.236482165
306,0.291589591,0.130352261,0.233271673
307,0.280451964,0.140256945,0.224361571
308,0.286012926,0.114213586,0.228810341
309,0.274641585,0.103299573,0.219713268
310,0.282389088,0.104568163,0.225911271
311,0.278284907,0.147168351,0.222627925
312,0.271254314,0.094516346,0.217003451
313,0.279606504,0.143205041,0.223685203
314,0.285391743,0.133502276,0.228313394
315,0.278925433,0.148146653,0.223140346
316,0.27298631,0.161285392,0.218389048
317,0.280184381,0.096377829,0.224147505
318,0.27182599,0.147012709,0.217460792
319,0.276013093,0.116312417,0.220810474
320,0.276163625,0.121597118,0.2209309
321,0.284401276,0.100831947,0.227521021
322,0.293707906,0.139229893,0.234966325
323,0.279191073,0.111930183,0.223352858
324,0.27946448,0.10018508,0.223571584
325,0.279091363,0.141880002,0.223273091
326,0.279895506,0.125413884,0.223916405
327,0.289611891,0.117091362,0.231689513
328,0.284254949,0.10184878,0.227403959
329,0.286160644,0.149288452,0.228928515
330,0.292992766,0.139675896,0.234394212
331,0.28127867,0.134302452,0.225022936
332,0.286752186,0.13376697,0.229401749
333,0.290187398,0.151081222,0.232149918
334,0.28910134,0.125699191,0.231281072
335,0.293448142,0.154606469,0.234758514
336,0.289715208,0.117313025,0.231772166
337,0.285842507,0.1249395,0.228674005
338,0.283722071,0.091586793,0.226977657
339,0.280281486,0.154429868,0.224225189
340,0.282158698,0.168804724,0.225726959
341,0.273837981,0.147161204,0.219070385
342,0.290842172,0.10256211,0.232673737
343,0.284877983,0.117164081,0.227902387
344,0.277742995,0.131380133,0.222194396
345,0.288427761,0.122311527,0.230742209
346,0.274969308,0.139098616,0.219975447
347,0.278202589,0.096873738,0.222562071
348,0.284754945,0.147417251,0.227803956
349,0.278538798,0.144999025,0.222831038
350,0.279040491,0.133632334,0.223232393
351,0.282400303,0.153000952,0.225920243
352,0.271278992,0.172750454,0.217023194
353,0.279807304,0.120226572,0.223845843
354,0.276054118,0.144832562,0.220843294
355,0.263879412,0.104460979,0.21110353
356,0.267125159,0.138381733,0.213700127
357,0.273860498,0.17067977,0.219088398
358,0.274325477,0.121831735,0.219460381
359,0.270489695,0.126376373,0.216391756
360,0.263010853,0.095579675,0.210408682
361,0.261714074,0.120858634,0.209371259
362,0.262967042,0.161345065,0.210373634
363,0.277260149,0.0826673,0.221808119
364,0.26121567,0.138930101,0.208972536
365,0.263215461,0.139590295,0.210572369
366,0.257342446,0.128341928,0.205873957
367,0.272622052,0.162140849,0.218097642
368,0.274139879,0.134973693,0.219311903
369,0.26832902,0.155745119,0.214663216
370,0.270952464,0.141864392,0.216761971
371,0.271864282,0.140058849,0.217491426
372,0.283693746,0.116895059,0.226954997
373,0.28027783,0.131928658,0.224222264
374,0.27943798,0.148070251,0.223550384
375,0.276221336,0.159447734,0.220977069
376,0.287076285,0.131013366,0.229661028
377,0.277869226,0.131463881,0.222295381
378,0.276715153,0.174302959,0.221372122
379,0.280873702,0.123388705,0.224698961
380,0.271709772,0.156826505,0.217367818
381,0.284497292,0.122033685,0.227597833
382,0.275663544,0.180220527,0.220530835
383,0.268097812,0.134160358,0.214478249
384,0.279656818,0.100534471,0.223725455
385,0.275774777,0.129092575,0.220619822
386,0.278225928,0.125182005,0.222580742
387,0.279349463,0.123782493,0.22347957
388,0.282116109,0.173129745,0.225692887
389,0.280773533,0.098369323,0.224618826
390,0.27488472,0.123090117,0.219907776
391,0.285787844,0.132538869,0.228630275
392,0.281981584,0.102452129,0.225585267
393,0.305184316,0.103428605,0.244147453
394,0.293790334,0.127748357,0.235032268
395,0.277779692,0.140693701,0.222223754
396,0.288382741,0.101954374,0.230706193
397,0.282826947,0.160885655,0.226261558
398,0.289933067,0.117117372,0.231946454
399,0.283550795,0.140389511,0.226840636
400,0.295085707,0.164257082,0.236068566
401,0.284991599,0.130889031,0.227993279
402,0.277406691,0.121749763,0.221925353
403,0.2805092,0.126956166,0.22440736
404,0.278571191,0.172800187,0.222856953
405,0.280566065,0.120812115,0.224452852
406,0.280250872,0.126988943,0.224200698
407,0.291831871,0.139027292,0.233465497
408,0.283293399,0.115232438,0.226634719
409,0.274275841,0.103372998,0.219420673
410,0.284294378,0.147740811,0.227435502
411,0.265231518,0.113572354,0.212185214
412,0.276697126,0.172803022,0.221357701
413,0.267911728,0.156226364,0.214329382
414,0.290089276,0.117566644,0.232071421
415,0.269906736,0.12409472,0.215925388
416,0.275097655,0.150498876,0.220078124
417,0.286010428,0.121933317,0.228808342
418,0.286868169,0.111852775,0.229494535
419,0.277418215,0.132636592,0.221934572
420,0.27035422,0.118068578,0.216283376
421,0.274595296,0.155349908,0.219676236
422,0.283073029,0.130854011,0.226458423
423,0.27913086,0.132182175,0.223304688
424,0.281203526,0.180480553,0.224962821
425,0.286128518,0.111546386,0.228902815
426,0.283563338,0.122864972,0.22685067
427,0.285656014,0.147117714,0.228524811
428,0.28890771,0.121022753,0.231126168
429,0.270993504,0.119732423,0.216794804
430,0.301787504,0.134275802,0.241430003
431,0.284929173,0.139679923,0.227943338
432,0.285356628,0.141297922,0.228285302
433,0.283143913,0.140605051,0.226515131
434,0.291118919,0.135449779,0.232895135
435,0.291574095,0.169900756,0.233259276
436,0.291341587,0.113228359,0.23307327
437,0.279995165,0.136177829,0.223996132
438,0.282772268,0.106380714,0.226217814
439,0.290642482,0.149692839,0.232513986
440,0.293180035,0.131817602,0.234544028
441,0.277812847,0.110065042,0.222250278
442,0.271054201,0.154261988,0.216843361
443,0.280215888,0.108434822,0.224172711
444,0.280223259,0.168982309,0.224178607
445,0.277376035,0.150046541,0.221900828
446,0.28346466,0.126144255,0.226771728
447,0.276601694,0.126759585,0.221281355
448,0.284259863,0.122879191,0.22740789
449,0.272958378,0.156717802,0.218366702
450,0.268897319,0.133079966,0.215117855
451,0.28525144,0.162925531,0.228201152
452,0.277499563,0.128861141,0.22199965
453,0.287592826,0.167331722,0.230074261
454,0.281002896,0.123997013,0.224802317
455,0.275966472,0.138485873,0.220773178
456,0.27288645,0.123824319,0.21830916
457,0.277468541,0.089263325,0.221974833
458,0.288260728,0.130721179,0.230608583
459,0.288155285,0.100841493,0.230524228
460,0.279970368,0.141917251,0.223976294
461,0.296403425,0.129413107,0.23712274
462,0.323983801,0.117517844,0.259187041
463,0.285755755,0.134823465,0.228604604
464,0.283800905,0.161343805,0.227040724
465,0.29537492,0.13415833,0.236299936
466,0.274011084,0.171272214,0.219208867
467,0.279982065,0.165391547,0.223985652
468,0.281152279,0.168938649,0.224921823
469,0.270617035,0.144664509,0.216493628
470,0.280952773,0.090600084,0.224762218
471,0.27380785,0.129925921,0.21904628
472,0.27383199,0.166039138,0.219065592
473,0.26535937,0.081159016,0.212287496
474,0.280882418,0.118297996,0.224705935
475,0.27172217,0.142846351,0.217377736
476,0.275929441,0.151206464,0.220743553
477,0.282998491,0.13420171,0.226398793
478,0.291711372,0.098808438,0.233369097
479,0.302042254,0.149370637,0.241633803
480,0.284778233,0.129403163,0.227822587
481,0.275888472,0.121143629,0.220710777
482,0.28051444,0.149708342,0.224411552
483,0.285042467,0.147445682,0.228033973
484,0.310728525,0.188297581,0.24858282
485,0.289040135,0.191413314,0.231232108
486,0.27677321,0.129321946,0.221418568
487,0.286201822,0.120810857,0.228961458
488,0.281145191,0.121973938,0.224916153
489,0.276457393,0.141888811,0.221165915
490,0.278598222,0.191199283,0.222878577
491,0.273570908,0.120726591,0.218856726
492,0.275652754,0.140469822,0.220522203
493,0.266126665,0.122891492,0.212901332
494,0.278317277,0.115742833,0.222653822
495,0.274979428,0.167877394,0.219983542
496,0.285958172,0.115510689,0.228766537
497,0.274981543,0.138587571,0.219985234
498,0.269812342,0.127897021,0.215849874
499,0.285002118,0.173227605,0.228001694
500,0.285647739,0.11321836,0.228518191
501,0.285368889,0.147565336,0.228295111
502,0.28843343,0.10318937,0.230746744
